
🆚中视,#genre#

关注,http://39.135.138.58:18890/PLTV/88888888/224/3221226248/index.m3u8
公众号,http://39.135.138.58:18890/PLTV/88888888/224/3221226274/index.m3u8
星河科技园,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8
纬来体育,http://123.51.230.108:18509/.m3u8
天映经典,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8#http://27.47.71.203:8811/hls/62/index.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh#http://anren.live/HK/BiIOU11uLA.m3u8#http://nettvpro.live/hls/lotustv.php#https://p.ggiptv.com/v/macaulotustv.php#http://epg.112114.xyz/lotus#http://jylt.jdshipin.com:808/hls/24/index.m3u8
公视戏剧,http://www.336699.live:1935/blockfour/4gtv-4gtv042.stream/playlist.m3u8
宁夏公共,http://livepgc.cmc.ningxiahuangheyun.com/pgc/041867befe3dde090202f620ade5b87c.m3u8?txSecret=39373ebcf0d57da2477968efb258e2b7&txTime=6235C9B6
吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8?zningxd
宁夏经济,http://livepgc.cmc.ningxiahuangheyun.com/pgc/10717759047cafd37fd87caa5883e9c2.m3u8?txSecret=6a3918f766d0ff625282376ffee72687&txTime=6235C9C1
宁夏少儿,http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=28
宁夏文旅,http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=29
美亚电影台,https://pull-l3-cny.douyincdn.com/live/cd287e61f4598f399dd276dc57c51749.m3u8#http://v3948069e.live.126.net/live/hod300.flv
J2,https://pull-l3-cny.douyincdn.com/live/e555a6d9b971ad8883e37a6aaacad13e.m3u8#http://baidu.douyincdn.freetvtv.com/j2/index.m3u8#http://116.205.130.205:66/6/807tv.php?tid=gt&id=10#http://59.149.114.27:9981/stream/channelid/353264762?profile=matroska?
星卫电影台,http://pull-l3-cny.douyincdn.com/third/stream-80d54eadb8f343a8b837c22e336155d1.m3u8#http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=MD9D2629738526297385&ct=19324&tsum=c5603072d332aaf7d56cf3f0b1ed066d#http://pull-l3-cny.douyincdn.com/live/80d54eadb8f343a8b837c22e336155d1.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://107.151.203.111:2209/135/hk.php?id=fhzw#http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226248/index.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#http://107.151.203.111:2209/135/hk.php?id=fhzx#http://120.84.96.73:808/hls/28/index.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226274/index.m3u8
凤凰香港,http://120.84.96.85:808/hls/81/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8#http://218.202.220.2:5000/nn_live.m3u8?id=NEWSASIA#http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?blog.ntnas.top#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd
翡翠台,http://r.jdshipin.com/qClQf#http://baidu.douyincdn.freetvtv.com/jade2/index.m3u8#http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09#http://198.16.64.10:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e#http://baidu.douyincdn.freetvtv.com/tvbjade/m2.m3u8?blog.ntnas.top#http://198.16.64.10:8278/tvbxinhe_twn/playlist.m3u8?tid=ME2E8352893183528931&ct=19225&tsum=5f852c878e02000708a055c6b08a9405#http://baidu.douyincdn.freetvtv.com/tvbjade/m2.m3u8#http://xjayrf.eatuo.com:9901/tsfile/live/1004_1.m3u8#http://116.205.130.205:66/6/807tv.php?tid=gt&id=0#http://radius.8866.org:800/hls/80/index.m3u8#http://shazui.8866.org:800/hls/80/index.m3u8#http://113.117.74.19:808/hls/67/index.m3u8&備用#http://120.84.96.78:808/hls/25/index.m3u8&備用#http://59.149.114.27:9981/stream/channelid/1255701536?profile=matroska?
明珠台,http://r.jdshipin.com/ZQ4kN#http://120.84.96.62:808/hls/26/index.m3u8?blog.ntnas.top#http://baidu.douyincdn.freetvtv.com/peal/m2.m3u8#http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
龙华戏剧,http://123.51.230.108:18513/.m3u8
东森财经,http://123.51.230.108:18515/.m3u8
龙华日韩,http://123.51.230.108:18551/.m3u8
东风37,http://123.51.230.108:18560/.m3u8
耀才财经新闻,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
WB TV,http://208.115.225.174:14132
HBO 2,http://208.115.225.174:14140
HBO Mundi,http://208.115.225.174:14148
HBO signature,http://208.115.225.174:14160
Sbt,http://208.115.225.174:14170#http://208.115.225.174:14173#http://208.115.225.174:14176
Animal Planet,http://208.115.225.174:14192
BDMG,http://208.115.225.174:14263
Show FE,http://208.115.225.174:14420#http://208.115.225.174:14428
Premiere,http://208.115.225.174:14460#http://208.115.225.174:14468
ESPN 4,http://208.115.225.174:14510
TVB无线财经,http://120.84.96.62:808/hls/86/index.m3u8#http://120.84.96.55:808/hls/86/index.m3u8
龙祥时代,http://120.84.96.62:808/hls/35/index.m3u8
好莱坞电影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8?blog.ntnas.top#http://hd0808.top/jd2/qfjd2.php?cid=live1025&p=5003#https://pull-l3-cny.douyincdn.com/live/06027cd7cadf310982fe67221578515b.m3u8
中天综合台,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8#http://2023.stream-link.org/playlist/cti_zh.flv
体,http://47.104.173.199/daili1/nxgd/nxgd.php?id=yclwwt
香港卫视文旅台,http://hw-play.lezhibo.com/live/a34bb04b8b85438a821561c865c0a22e.m3u8
c/playlist.m3u8凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
东森电影,http://120.84.96.108:808/hls/32/index.m3u8#http://27.47.71.203:8811/hls/58/index.m3u8#http://120.84.96.50:808/hls/32/index.m3u8#http://120.84.96.55:808/hls/32/index.m3u8#http://120.84.96.53:808/hls/32/index.m3u8#http://120.84.96.74:808/hls/32/index.m3u8#http://120.84.96.62:808/hls/32/index.m3u8#http://120.84.96.78:808/hls/32/index.m3u8#http://120.84.96.168:808/hls/32/index.m3u8#http://120.84.96.63:808/hls/32/index.m3u8#http://27.47.68.30:808/hls/58/index.m3u8#http://lcx-olt.8866.org:8181/tsfile/live/1075_1.m3u8#http://jyjxy.7766.org:808/hls/58/index.m3u8#https://epg.pm/stream/72d08aabd0de7d89e45b983cff9ab7a77f918894050d6f599ec8ebf4680caf56.m3u8
东森洋片,http://120.84.96.108:808/hls/33/index.m3u8#http://27.47.71.203:8811/hls/59/index.m3u8#https://epg.pm/stream/65edfbea888ee7fd0656d4806e7a3436bba73ebda4e80aa20635fc6c663885a2.m3u8#https://epg.pm/stream/4bc91ab1742f3818037e2ab6e6a036f8ff88d9505d7c1ff67f74d9d3f07e454f.m3u8#https://epg.pm/stream/50ff5f867d8b46ec18e9cbfc731b3e3c6eef656a3872ec7b9a8c2aa0f59533d3.m3u8
龙翔电影,http://120.84.96.108:808/hls/35/index.m3u8
天映电影,http://120.84.96.108:808/hls/85/index.m3u8
财经体育资讯台,http://120.84.96.108:808/hls/86/index.m3u8#http://120.84.96.62:808/hls/86/index.m3u8?blog.ntnas.top#https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
TVBS新闻台,http://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8#http://2023.stream-link.org/playlist/tvbs_news
TVBS亚洲台,http://pull-l3-cny.douyincdn.com/third/stream-9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
RT英语新闻,http://pull-l3-cny.douyincdn.com/third/stream-01a22d8d466a6ef38b80e2ce6cd323c0.m3u8
台视新闻,http://2023.stream-link.org/playlist/ttv_news
三立新闻,http://2023.stream-link.org/playlist/set_news.flv
寰宇台湾新闻,http://2023.stream-link.org/playlist/global_tw.flv
